FECHA,INDICE,NIVEL
28/10/2015 00:00,ME,44741.68
29/10/2015 00:00,ME,44634.81
30/10/2015 00:00,ME,44542.76
03/11/2015 00:00,ME,45354.59
04/11/2015 00:00,ME,45373.17
05/11/2015 00:00,ME,45195.65
06/11/2015 00:00,ME,45243.85
09/11/2015 00:00,ME,44479.23
10/11/2015 00:00,ME,44359.89
11/11/2015 00:00,ME,44347.91
12/11/2015 00:00,ME,44120.52
13/11/2015 00:00,ME,43617.73
17/11/2015 00:00,ME,44184.65
18/11/2015 00:00,ME,44505.59
19/11/2015 00:00,ME,44620.6
20/11/2015 00:00,ME,44895.02
23/11/2015 00:00,ME,44779.14
24/11/2015 00:00,ME,44576.23
25/11/2015 00:00,ME,44138.75
26/11/2015 00:00,ME,44374.52
27/11/2015 00:00,ME,44247.98
30/11/2015 00:00,ME,43418.55
01/12/2015 00:00,ME,43984.9
02/12/2015 00:00,ME,43417.05
03/12/2015 00:00,ME,43027.3
04/12/2015 00:00,ME,42994.23
07/12/2015 00:00,ME,42655.24
08/12/2015 00:00,ME,42236.74
09/12/2015 00:00,ME,42398.06
10/12/2015 00:00,ME,42447.77
11/12/2015 00:00,ME,42000.63
14/12/2015 00:00,ME,41901.96
15/12/2015 00:00,ME,42905.2
16/12/2015 00:00,ME,43429.72
17/12/2015 00:00,ME,43503.52
18/12/2015 00:00,ME,42936.63
21/12/2015 00:00,ME,43160.61
22/12/2015 00:00,ME,43328.72
23/12/2015 00:00,ME,43579.67
24/12/2015 00:00,ME,43528.27
28/12/2015 00:00,ME,43396.16
29/12/2015 00:00,ME,43391.78
30/12/2015 00:00,ME,43012.37
31/12/2015 00:00,ME,42977.5
04/01/2016 00:00,ME,42113.7
05/01/2016 00:00,ME,42041.68
06/01/2016 00:00,ME,41691.19
07/01/2016 00:00,ME,40661.57
08/01/2016 00:00,ME,40265.37
11/01/2016 00:00,ME,40706.89
12/01/2016 00:00,ME,41022.74
13/01/2016 00:00,ME,41008.78
14/01/2016 00:00,ME,41352.75
15/01/2016 00:00,ME,40847.7
18/01/2016 00:00,ME,40604.79
19/01/2016 00:00,ME,40809.25
20/01/2016 00:00,ME,40844.41
21/01/2016 00:00,ME,41166.88
22/01/2016 00:00,ME,41621.31
25/01/2016 00:00,ME,41476.35
26/01/2016 00:00,ME,41932.39
27/01/2016 00:00,ME,42109.89
28/01/2016 00:00,ME,42393.02
29/01/2016 00:00,ME,43630.77
02/02/2016 00:00,ME,43092.49
03/02/2016 00:00,ME,43257.54
04/02/2016 00:00,ME,43751.93
05/02/2016 00:00,ME,43229.67
08/02/2016 00:00,ME,42774.85
09/02/2016 00:00,ME,42399.19
10/02/2016 00:00,ME,42535.74
11/02/2016 00:00,ME,42359.26
12/02/2016 00:00,ME,42416.44
15/02/2016 00:00,ME,43205.91
16/02/2016 00:00,ME,43100.32
17/02/2016 00:00,ME,43585.23
18/02/2016 00:00,ME,43516.66
19/02/2016 00:00,ME,43375.31
22/02/2016 00:00,ME,43546.72
23/02/2016 00:00,ME,43216.58
24/02/2016 00:00,ME,43173.73
25/02/2016 00:00,ME,43434.55
26/02/2016 00:00,ME,43473.37
29/02/2016 00:00,ME,43714.93
01/03/2016 00:00,ME,44214.5
02/03/2016 00:00,ME,44615.75
03/03/2016 00:00,ME,44742.22
04/03/2016 00:00,ME,44849.02
07/03/2016 00:00,ME,44967.16
08/03/2016 00:00,ME,44504.29
09/03/2016 00:00,ME,44492.5
10/03/2016 00:00,ME,44337.04
11/03/2016 00:00,ME,44735.5
14/03/2016 00:00,ME,44691.8
15/03/2016 00:00,ME,44210.44
16/03/2016 00:00,ME,44751.4
17/03/2016 00:00,ME,45435.09
18/03/2016 00:00,ME,45482.39
22/03/2016 00:00,ME,45632.28
23/03/2016 00:00,ME,45647.57
28/03/2016 00:00,ME,45623.48
29/03/2016 00:00,ME,45897.65
30/03/2016 00:00,ME,46191.51
31/03/2016 00:00,ME,45881.08
